Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.569937369519833,0.05853658536585366,0.48,0.10434782608695652,0.5809691629955948
Decision Tree,0.7473903966597077,0.04716981132075472,0.2,0.07633587786259542,0.48088105726872243
Random Forest,0.9457202505219207,0.3333333333333333,0.04,0.07142857142857142,0.5765638766519824
Support Vector Machine,0.9102296450939458,0.0,0.0,0.0,0.5183259911894273
Gradient Boosting,0.9457202505219207,0.0,0.0,0.0,0.5637004405286343
